"country","COD","year","health","chagas","hantavirus","cutaneous_leishmaniasis","visceral_leishmaniasis","rickettsia","malaria","zoonotic","n_zoo","fire_related","n_fire","acute","n_acute","chronic","n_chronic","respiratory","n_resp","cardiovascular","n_card","pop","IDH","for_PLAND","for_PD","for_ED","for_AI","savanna_PLAND","notforest_PLAND","FS_PLAND","tot_IT","NOTackn_IT","acknlgd_IT","FS_noIT","habitat_noIT","pm25_SUM","fire_MIN","fire_MAX","fire_MEAN","fire_COUNT","fire_SUM"
"Bolivia","BO010101",2001,25407,572,NA,4,NA,NA,120,696,3,24711,3,12382,2,12329,1,12382,2,12329,4,151512.911190032,0.632,9.5574,1.435,25.7634,78.7433,0,48.07,9.5574,0,0,0,9.5574,57.6274,11304882181,0,0,0,1470,0
"Bolivia","BO010101",2002,17899,1671,NA,4,NA,NA,65,1740,3,16159,3,9230,2,6929,1,9230,2,6929,4,154315.718661784,0.63,9.5689,1.4356,25.7602,78.7719,0,48.078,9.5689,0,0,0,9.5689,57.6469,12461473067,0,0,0,1470,0
"Bolivia","BO010101",2003,9074,1813,NA,4,NA,NA,32,1849,3,7225,3,7225,2,0,1,7225,2,0,4,157118.526133537,0.627,9.5234,1.438,25.6728,78.7436,0,48.0284,9.5234,0,0,0,9.5234,57.5518,11689896778.5,0,0,0,1470,0
"Bolivia","BO010101",2004,8549,0,NA,4,NA,NA,39,43,3,8506,3,8506,2,0,1,8506,2,NA,4,159921.333605289,0.626,9.5835,1.4332,25.7542,78.8098,0,47.9692,9.5835,0,0,0,9.5835,57.5527,13993886217,0,0,0,1470,0
"Bolivia","BO010101",2005,7463,0,NA,0,NA,NA,28,28,3,7435,3,7435,2,0,1,7435,2,NA,4,162724.141077041,0.635,9.6467,1.432,25.7768,78.9304,0,48.0613,9.6467,0,0,0,9.6467,57.708,13613956802,0,0,0,1470,0
"Bolivia","BO010101",2006,7690,0,NA,13,NA,NA,21,34,3,7656,3,7656,2,0,1,7656,2,NA,4,165551.724201633,0.638,9.6736,1.4285,25.786,78.9816,0,48.0926,9.6736,0,0,0,9.6736,57.7662,11660390255,0,0,0,1470,0
"Bolivia","BO010101",2007,9135,0,NA,5,NA,NA,16,21,3,9114,3,9114,2,0,1,9114,2,NA,4,168379.307326225,0.645,9.5952,1.4421,25.7206,78.8632,0,48.1353,9.5952,0,0,0,9.5952,57.7305,14432569463,0,0,0,1470,0
"Bolivia","BO010101",2008,8047,0,NA,5,NA,NA,249,254,3,7793,3,7793,2,0,1,7793,2,NA,4,171206.890450816,0.652,9.5465,1.4338,25.6285,78.8325,0,48.1857,9.5465,0,0,0,9.5465,57.7322,11221599502,0,0,0,1470,0
"Bolivia","BO010101",2009,7087,0,NA,1,NA,NA,3,4,3,7083,3,7083,2,0,1,7083,2,NA,4,174034.473575408,0.658,9.5993,1.4386,25.7826,78.8206,0,48.1788,9.5993,0,0,0,9.5993,57.7781,10904762212.5,0,0,0,1470,0
"Bolivia","BO010101",2010,6906,834,NA,2,NA,NA,0,836,3,6070,3,6070,2,0,1,6070,2,NA,4,176862.0567,0.662,9.5893,1.4386,25.8045,78.7804,0,48.1931,9.5893,0,0,0,9.5893,57.7824,14239651164,0,0,0,1472,0
