"country","COD","year","health","chagas","hantavirus","cutaneous_leishmaniasis","visceral_leishmaniasis","rickettsia","malaria","zoonotic","n_zoo","fire_related","n_fire","acute","n_acute","chronic","n_chronic","respiratory","n_resp","cardiovascular","n_card","pop","IDH","for_PLAND","for_PD","for_ED","for_AI","savanna_PLAND","notforest_PLAND","FS_PLAND","tot_IT","NOTackn_IT","acknlgd_IT","IT_presence","IT_acknlgd","FS_noIT","habitat_noIT","pm25_SUM","fire_MIN","fire_MAX","fire_MEAN","fire_COUNT","fire_SUM"
"Brasil","COD1100015",2008,434,0,0,28,0,NA,207,235,5,199,13,130,6,70,7,191,8,8,4,24503.0216919446,0.715,55.6984,0.5676,18.1569,97.3808,2.7927,12.6552,58.4911,24.0398,0,24.0398,"yes_IT","acknowledged_only",34.4513,47.1065,65598917466,0,1,0.00129785853342,6164,8
"Brasil","COD1100015",2009,313,0,0,14,0,NA,78,92,5,221,13,162,6,61,7,210,8,11,4,24758.3045959723,0.717,55.7517,0.5642,18.0828,97.3943,2.8155,12.6449,58.5672,24.0398,0,24.0398,"yes_IT","acknowledged_only",34.5274,47.1723,56855691728,0,1,0.000973393900065,6164,6
"Brasil","COD1100015",2010,357,0,0,34,0,NA,41,75,5,282,13,175,6,116,7,274,8,8,4,25013.5875,0.723,55.6556,0.5643,18.0181,97.3993,2.8401,12.8229,58.4957,24.0398,0,24.0398,"yes_IT","acknowledged_only",34.4559,47.2788,89876406079,0,2,0.035360908353609,6165,218
"Brasil","COD1100015",2011,300,0,0,9,0,NA,16,25,5,275,13,131,6,132,7,267,8,8,4,25246.1596049738,0.728,55.5399,0.5649,18.036,97.3919,2.8847,12.8657,58.4246,24.0398,0,24.0398,"yes_IT","acknowledged_only",34.3848,47.2505,61440465819,0,2,0.019143413367943,6164,118
"Brasil","COD1100015",2012,268,0,0,18,0,NA,33,51,5,217,13,103,6,114,7,216,8,1,4,25478.7317099476,0.732,55.4408,0.5697,18.1308,97.374,2.9154,12.8879,58.3562,24.0398,0,24.0398,"yes_IT","acknowledged_only",34.3164,47.2043,64409663197,0,1,0.007300454250487,6164,45
"Brasil","COD1100015",2013,433,0,0,26,0,NA,73,99,5,334,13,208,6,125,7,321,8,13,4,25711.3038149213,0.75,55.6091,0.5786,18.2521,97.364,2.8833,13.062,58.4924,24.0398,0,24.0398,"yes_IT","acknowledged_only",34.4526,47.5146,56676012785,0,1,0.002757949383517,6164,17
"Brasil","COD1100015",2014,461,0,0,37,0,NA,79,116,5,345,13,214,6,133,7,326,8,19,4,25943.8759198951,0.754,55.6571,0.5796,18.2296,97.3698,2.8811,13.0092,58.5382,24.0398,0,24.0398,"yes_IT","acknowledged_only",34.4984,47.5076,65542512201,0,1,0.000162232316677,6164,1
"Brasil","COD1100015",2015,385,0,0,21,0,NA,30,51,5,334,13,242,6,90,7,319,8,15,4,26176.4480248689,0.753,55.3788,0.5835,18.2019,97.3616,2.8835,13.1466,58.2623,24.0398,0,24.0398,"yes_IT","acknowledged_only",34.2225,47.3691,71246217079,0,1,0.00259571706684,6164,16
"Brasil","COD1100015",2016,411,0,0,24,0,NA,6,30,5,381,13,267,6,109,7,364,8,17,4,26381.7211312234,0.755,55.0737,0.5936,18.3021,97.3329,2.8812,13.1622,57.9549,24.0398,0,24.0398,"yes_IT","acknowledged_only",33.9151,47.0773,63773171867,0,2,0.029201817001947,6164,180
"Brasil","COD1100015",2017,430,0,0,20,0,NA,2,22,5,408,13,286,6,120,7,390,8,18,4,26586.9942375779,0.759,54.8887,0.6029,18.4541,97.302,2.8915,13.1925,57.7802,24.0398,0,24.0398,"yes_IT","acknowledged_only",33.7404,46.9329,72016232606,0,2,0.005678131083712,6164,35
