"country","COD","year","health","chagas","hantavirus","cutaneous_leishmaniasis","visceral_leishmaniasis","rickettsia","malaria","zoonotic","n_zoo","fire_related","n_fire","acute","n_acute","chronic","n_chronic","respiratory","n_resp","cardiovascular","n_card","pop","IDH","for_PLAND","for_PD","for_ED","for_AI","savanna_PLAND","notforest_PLAND","FS_PLAND","tot_IT","NOTackn_IT","acknlgd_IT","FS_noIT","habitat_noIT","pm25_SUM","fire_MIN","fire_MAX","fire_MEAN","fire_COUNT","fire_SUM"
"Colombia","CO18001",2007,13,0,NA,0,NA,0,13,13,4,NA,12,0,8,0,4,NA,8,NA,4,156847.698198746,0.71,60.9914,1.0275,36.9272,95.1654,0,0.024,60.9914,0.6911,0,0.6911,60.3003,60.3243,26692973779,0,1,0.00044964028777,2224,1
"Colombia","CO18001",2008,25,0,NA,13,NA,0,12,25,4,NA,12,0,8,0,4,NA,8,NA,4,158710.164465831,0.716,60.5142,1.0436,37.4721,95.0558,0,0.0193,60.5142,0.6911,0,0.6911,59.8231,59.8424,26193877839,0,0,0,2224,0
"Colombia","CO18001",2009,62,0,NA,35,NA,0,27,62,4,0,12,0,8,0,4,0,8,0,4,160572.630732915,0.722,60.0581,1.0727,37.5211,95.0112,0,0.0168,60.0581,0.6911,0,0.6911,59.367,59.3838,25732597683,0,0,0,2224,0
"Colombia","CO18001",2010,148,0,NA,128,NA,0,20,148,4,0,12,0,8,0,4,0,8,0,4,162435.097,0.726,59.8008,1.1088,37.5509,94.9868,0,0.0208,59.8008,0.6911,0,0.6911,59.1097,59.1305,26490421045,0,0,0,2224,0
"Colombia","CO18001",2011,107,0,NA,107,NA,0,0,107,4,0,12,0,8,0,4,0,8,0,4,164069.847488496,0.733,59.6671,1.1226,38.0529,94.9094,0,0.0245,59.6671,0.6911,0,0.6911,58.976,59.0005,25805019159,0,0,0,2224,0
"Colombia","CO18001",2012,111,5,NA,100,NA,0,6,111,4,0,12,0,8,0,4,0,8,0,4,165704.597976992,0.734,59.7256,1.1257,38.3863,94.8695,0,0.0206,59.7256,0.6911,0,0.6911,59.0345,59.0551,25802255935,0,0,0,2224,0
"Colombia","CO18001",2013,61,8,NA,48,NA,0,5,61,4,0,12,0,8,0,4,0,8,0,4,167339.348465489,0.746,60.3201,1.1281,39.4943,94.7744,0,0.0196,60.3201,0.6911,0,0.6911,59.629,59.6486,25765792840,0,0,0,2224,0
"Colombia","CO18001",2014,57,1,NA,43,NA,0,13,57,4,0,12,0,8,0,4,0,8,0,4,168974.098953985,0.75,60.801,1.1277,39.8845,94.7645,0,0.0221,60.801,0.6911,0,0.6911,60.1099,60.132,26299381871,0,0,0,2224,0
"Colombia","CO18001",2015,77,0,NA,59,NA,0,18,77,4,0,12,0,8,0,4,0,8,0,4,170608.849442481,0.754,60.9883,1.1171,40.1429,94.747,0,0.0259,60.9883,0.6911,0,0.6911,60.2972,60.3231,25968685055,0,0,0,2224,0
"Colombia","CO18001",2016,70,1,NA,60,NA,0,9,70,4,0,12,0,8,0,4,0,8,0,4,172024.00630989,0.759,61.0402,1.0994,39.9147,94.7818,0,0.0273,61.0402,0.6911,0,0.6911,60.3491,60.3764,26473404216,0,0,0,2224,0
