"country","COD","year","health","chagas","hantavirus","cutaneous_leishmaniasis","visceral_leishmaniasis","rickettsia","malaria","zoonotic","n_zoo","fire_related","n_fire","acute","n_acute","chronic","n_chronic","respiratory","n_resp","cardiovascular","n_card","pop","IDH","for_PLAND","for_PD","for_ED","for_AI","savanna_PLAND","notforest_PLAND","FS_PLAND","tot_IT","NOTackn_IT","acknlgd_IT","FS_noIT","habitat_noIT","pm25_SUM","fire_MIN","fire_MAX","fire_MEAN","fire_COUNT","fire_SUM"
"Suriname","SR",2001,38570,NA,NA,0,NA,NA,14118,14118,2,24452,2,NA,NA,NA,NA,24452,11,NA,NA,482426.621243797,0.647,93.9897,0.0803,4.2917,99.6373,8e-04,2.8299,93.9905,0,0,0,93.9905,96.8204,711066929586.25,0,2,0.000211452916484,127688,27
"Suriname","SR",2002,42987,NA,NA,0,NA,NA,13258,13258,2,29729,2,NA,NA,NA,NA,29729,11,NA,NA,484674.470736498,0.656,94.0174,0.0799,4.3191,99.6351,8e-04,2.8094,94.0182,0,0,0,94.0182,96.8276,700425631188.25,0,3,0.000587369212455,127688,75
"Suriname","SR",2003,49833,NA,NA,0,NA,NA,20659,20659,2,29174,2,NA,NA,NA,NA,29174,11,NA,NA,486922.3202292,0.665,93.9878,0.0812,4.3346,99.6337,8e-04,2.8169,93.9886,0,0,0,93.9886,96.8055,703445798162.5,0,1,0.000328926758975,127688,42
"Suriname","SR",2004,57664,NA,NA,0,NA,NA,26801,26801,2,30863,2,NA,NA,NA,NA,30863,11,NA,NA,489170.169721901,0.674,93.966,0.0811,4.3613,99.6314,8e-04,2.8335,93.9668,0,0,0,93.9668,96.8003,702205634927,0,1,0.000352421527473,127688,45
"Suriname","SR",2005,45456,NA,NA,0,NA,NA,16122,16122,2,29334,2,NA,NA,NA,NA,29334,11,NA,NA,491418.019214603,0.683,93.9568,0.0814,4.3992,99.6281,8e-04,2.823,93.9576,0,0,0,93.9576,96.7806,714249224229.5,0,1,5.4821126496e-05,127688,7
"Suriname","SR",2006,36897,NA,NA,140,NA,NA,1903,2043,2,34854,2,NA,NA,NA,NA,34854,11,NA,NA,496640.732571682,0.691,93.9516,0.0815,4.4336,99.6252,8e-04,2.8136,93.9524,0,0,0,93.9524,96.766,712065064723.75,0,1,0.00012530543199,127688,16
"Suriname","SR",2007,30712,NA,NA,90,NA,NA,325,415,2,30297,2,NA,NA,NA,NA,30297,11,NA,NA,501863.445928762,0.701,93.9362,0.0813,4.5017,99.6194,8e-04,2.8101,93.937,0,0,0,93.937,96.7471,743891063889.75,0,1,2.3494768498e-05,127688,3
"Suriname","SR",2008,28393,NA,NA,96,NA,NA,258,354,2,28039,2,NA,NA,NA,NA,28039,11,NA,NA,507086.159285841,0.709,93.8987,0.0818,4.5199,99.6177,8e-04,2.8427,93.8995,0,0,0,93.8995,96.7422,714969719939.75,0,2,0.000203621326985,127688,26
"Suriname","SR",2009,27845,NA,NA,74,NA,NA,193,267,2,27578,2,NA,NA,NA,NA,27578,11,NA,NA,512308.872642921,0.717,93.8362,0.0828,4.6807,99.6039,8e-04,2.8679,93.837,0,0,0,93.837,96.7049,706835906677,0,2,0.00039941106447,127688,51
"Suriname","SR",2010,26708,NA,NA,185,NA,NA,110,295,2,26413,2,NA,NA,NA,NA,26413,11,NA,NA,517531.586,0.723,93.885,0.0818,4.6267,99.6087,8e-04,2.831,93.8858,0,0,0,93.8858,96.7168,725784134683,0,1,0.000101813055566,127685,13
