"country","COD","year","health","chagas","hantavirus","cutaneous_leishmaniasis","visceral_leishmaniasis","rickettsia","malaria","zoonotic","n_zoo","fire_related","n_fire","acute","n_acute","chronic","n_chronic","respiratory","n_resp","cardiovascular","n_card","pop","IDH","for_PLAND","for_PD","for_ED","for_AI","savanna_PLAND","notforest_PLAND","FS_PLAND","tot_IT","NOTackn_IT","acknlgd_IT","FS_noIT","habitat_noIT","pm25_SUM","fire_MIN","fire_MAX","fire_MEAN","fire_COUNT","fire_SUM"
"Venezuela","VE070102",2001,0,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43869.1819274902,0.689,16.5741,4.0225,36.5533,82.5086,0,0.2256,16.5741,0,0,0,16.5741,16.7997,125707580.5,0,0,0,33,0
"Venezuela","VE070102",2002,0,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44674.0007873535,0.699,15.5475,3.7975,36.3395,81.4931,0,0.6966,15.5475,0,0,0,15.5475,16.2441,120202650.5,0,0,0,33,0
"Venezuela","VE070102",2003,0,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45478.8196472167,0.693,15.4234,3.8538,35.9387,81.5477,0,0.5669,15.4234,0,0,0,15.4234,15.9903,124991133.5,0,0,0,33,0
"Venezuela","VE070102",2004,0,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46283.63850708,0.707,15.3614,3.7412,34.7987,82.0771,0,0.4597,15.3614,0,0,0,15.3614,15.8211,116621564.75,0,1,0.03030303030303,33,1
"Venezuela","VE070102",2005,0,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47088.4573669433,0.721,15.2655,3.6287,34.7541,81.9629,0,0.4174,15.2655,0,0,0,15.2655,15.6829,120699432,0,0,0,33,0
"Venezuela","VE070102",2006,0,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47871.8114315546,0.732,15.195,3.6287,34.5493,82.0021,0,0.3892,15.195,0,0,0,15.195,15.5842,124445720,0,0,0,33,0
"Venezuela","VE070102",2007,0,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48655.165496166,0.749,15.1725,3.685,34.0594,82.2576,0,0.33,15.1725,0,0,0,15.1725,15.5025,126097106.5,0,1,0.03030303030303,33,1
"Venezuela","VE070102",2008,0,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49438.5195607773,0.756,15.2035,3.7694,33.9792,82.3037,0,0.2538,15.2035,0,0,0,15.2035,15.4573,123765964,0,0,0,33,0
"Venezuela","VE070102",2009,0,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50221.8736253887,0.756,15.1104,3.8256,33.9792,82.2121,0,0.2623,15.1104,0,0,0,15.1104,15.3727,125203671,0,0,0,33,0
"Venezuela","VE070102",2010,6,NA,NA,NA,NA,NA,6,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51005.22769,0.755,14.9384,3.7975,34.0416,81.9678,0,0.3187,14.9384,0,0,0,14.9384,15.2571,128267265,0,0,0,33,0
"Venezuela","VE070102",2011,0,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51748.373872581,0.762,14.4195,4.0225,33.8634,81.462,0,0.5443,14.4195,0,0,0,14.4195,14.9638,125955281.5,0,0,0,33,0
"Venezuela","VE070102",2012,0,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52491.5200551621,0.767,14.4759,3.9663,33.7388,81.5748,0,0.3864,14.4759,0,0,0,14.4759,14.8623,131427202,0,0,0,33,0
"Venezuela","VE070102",2013,0,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53234.6662377431,0.774,14.2474,3.9663,33.6408,81.3171,0,0.5302,14.2474,0,0,0,14.2474,14.7776,126510104,0,0,0,33,0
"Venezuela","VE070102",2014,0,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53977.8124203242,0.77,13.94,4.1069,34.0149,80.6773,0,0.6909,13.94,0,0,0,13.94,14.6309,129210898,0,1,0.03030303030303,33,1
"Venezuela","VE070102",2015,0,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54720.9586029052,0.767,14.0811,3.9382,33.4448,81.2373,0,0.4794,14.0811,0,0,0,14.0811,14.5605,130277228.5,0,0,0,33,0
"Venezuela","VE070102",2016,186,NA,NA,NA,NA,NA,186,186,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55427.4824920654,0.757,13.1448,4.1069,33.5784,79.8476,0,1.0068,13.1448,0,0,0,13.1448,14.1516,133405113,0,0,0,33,0
"Venezuela","VE070102",2017,461,NA,NA,NA,NA,NA,461,461,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56134.0063812255,0.744,13.6693,4.0507,32.7768,81.0237,0,0.3948,13.6693,0,0,0,13.6693,14.0641,130702094,0,0,0,33,0
"Venezuela","VE070103",2001,0,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39457.5719917297,0.689,20.9602,3.3946,48.3435,82.6523,0,24.0777,20.9602,0,0,0,20.9602,45.0379,153107200.5,0,0,0,34,0
