"COD","tot_IT","NOTackn_IT","acknlgd_IT"
"BO010101",0,0,0
"BO010103",8.0701,0,8.0701
"BO010201",0,0,0
"BO010202",0,0,0
"BO010301",0,0,0
"BO010302",5.1614,0,5.1614
"BO010303",0,0,0
"BO010304",0,0,0
"BO010401",0,0,0
"BO010402",0,0,0
"BO010403",0,0,0
"BO010404",0,0,0
"BO010405",0,0,0
"BO010501",3.8497,0,3.8497
"BO010502",49.556,0,49.556
"BO010601",0,0,0
"BO010602",0,0,0
"BO010801",0,0,0
"BO011001",15.4179,1.7099,13.708
"BO020101",0,0,0
"BO020102",0,0,0
"BO020103",0,0,0
"BO020104",0,0,0
"BO020402",3.3747,0,3.3747
"BO020403",0,0,0
"BO020501",0,0,0
"BO020502",45.1324,0,45.1324
"BO020503",0,0,0
"BO020601",0,0,0
"BO020602",13.7758,0.441,13.3348
"BO020603",17.2719,0,17.2719
"BO020604",0,0,0
"BO020605",0,0,0
"BO020606",8.5056,0,8.5056
"BO020607",7.3897,0.1319,7.2578
"BO020608",29.6647,25.4255,4.2392
"BO020701",52.493,23.6535,28.8395
"BO020702",20.7977,0,20.7977
"BO020901",0,0,0
"BO020902",0,0,0
"BO020903",0,0,0
"BO020904",0,0,0
"BO020905",0,0,0
"BO021001",1.4326,0,1.4326
"BO021002",0.3232,0,0.3232
"BO021003",0,0,0
"BO021004",0,0,0
"BO021005",0.898,0,0.898
"BO021006",0.1441,0,0.1441
"BO021101",0,0,0
"BO021102",0,0,0
"BO021103",0,0,0
"BO021104",48.8266,0,48.8266
"BO021105",2.3748,0,2.3748
"BO021301",0,0,0
"BO021401",0,0,0
"BO021402",0,0,0
"BO021501",30.3159,18.1655,12.1504
"BO021502",99.4289,28.799,70.6299
"BO021601",1.1782,1.0581,0.1201
"BO021602",0,0,0
"BO022001",0,0,0
"BO022002",0,0,0
"BO030101",0,0,0
"BO030201",2.169,0,2.169
"BO030202",0,0,0
"BO030203",0,0,0
"BO030301",0,0,0
"BO030302",0,0,0
"BO030303",44.5845,0,44.5845
"BO030401",0,0,0
"BO030402",0,0,0
"BO030403",0,0,0
"BO030404",0,0,0
"BO030501",0,0,0
"BO030502",0,0,0
"BO030601",0.1896,0,0.1896
"BO030602",2.8477,0,2.8477
"BO030701",0,0,0
"BO030702",0,0,0
"BO030703",0,0,0
"BO030801",0,0,0
"BO030802",0,0,0
"BO030803",0,0,0
"BO030901",0.3676,0,0.3676
"BO030902",0,0,0
"BO030903",0,0,0
"BO030904",0,0,0
"BO030905",0,0,0
"BO031001",0,0,0
"BO031002",0,0,0
"BO031003",26.516,0.236,26.28
"BO031101",30.8703,0,30.8703
"BO031201",0,0,0
"BO031202",0,0,0
"BO031203",0,0,0
"BO031204",77.009,2.2059,74.8031
"BO031205",4.0324,0,4.0324
"BO031206",0,0,0
"BO031301",29.1222,0,29.1222
"BO031302",0,0,0
"BO031303",0,0,0
"BO031401",0,0,0
"BO031402",0,0,0
"BO031403",0,0,0
"BO031404",0,0,0
"BO031405",0,0,0
"BO031501",94.0305,0,94.0305
"BO031601",0,0,0
"BO031602",0,0,0
"BO040201",74.4423,0,74.4423
"BO040701",89.2193,0,89.2193
"BO050201",63.0296,0,63.0296
"BO050202",94.5438,0,94.5438
"BO050203",94.2545,0,94.2545
"BO050204",99.9935,0,99.9935
"BO050401",1.2608,0,1.2608
"BO050402",0.0046,0,0.0046
"BO050403",36.0926,0,36.0926
"BO050404",0,0,0
"BO050501",21.0428,0,21.0428
"BO050502",0.0011,0,0.0011
