FID,COD,X,Y
0,VE020102,-662145.0000000,3988880.0000000
1,VE020103,-605523.0000000,4033740.0000000
2,VE020104,-555476.0000000,3926140.0000000
3,VE020201,-906786.0000000,4083560.0000000
4,VE020202,-770141.0000000,4037000.0000000
5,VE020203,-831979.0000000,4000940.0000000
6,VE020303,-869269.0000000,4257020.0000000
7,VE020401,-855628.0000000,4200700.0000000
8,VE020402,-846841.0000000,4156900.0000000
9,VE020403,-916689.0000000,4142020.0000000
10,VE020404,-861882.0000000,4096770.0000000
11,VE020502,-816177.0000000,3918720.0000000
12,VE020601,-611391.0000000,4112400.0000000
13,VE020602,-710704.0000000,4183810.0000000
14,VE020603,-698678.0000000,4093460.0000000
15,VE020701,-657437.0000000,3819930.0000000
16,VE020702,-746424.0000000,3888530.0000000
17,VE020703,-768852.0000000,3774000.0000000
18,VE070102,-315103.0000000,4518200.0000000
19,VE070103,-320683.0000000,4519080.0000000
20,VE070104,-314412.0000000,4527830.0000000
21,VE070105,-322809.0000000,4524110.0000000
22,VE070107,-325705.0000000,4516030.0000000
23,VE070108,-312861.0000000,4521950.0000000
24,VE070109,-322554.0000000,4503840.0000000
25,VE070110,-307047.0000000,4520200.0000000
26,VE070201,-737476.0000000,4381280.0000000
27,VE070203,-633412.0000000,4358580.0000000
28,VE070204,-687639.0000000,4320610.0000000
29,VE070205,-774526.0000000,4330160.0000000
30,VE070206,-809953.0000000,4282890.0000000
31,VE070301,-211819.0000000,4408510.0000000
32,VE070401,-212256.0000000,4215030.0000000
33,VE070402,-215636.0000000,4128250.0000000
34,VE070601,-301505.0000000,4481620.0000000
35,VE070602,-333021.0000000,4490670.0000000
36,VE070603,-308542.0000000,4388440.0000000
37,VE070702,-381394.0000000,4209110.0000000
38,VE070703,-437582.0000000,4373850.0000000
39,VE070801,-252510.0000000,4398720.0000000
40,VE070802,-204463.0000000,4466490.0000000
41,VE070901,-123099.0000000,4425590.0000000
42,VE070902,-192931.0000000,4352640.0000000
43,VE070903,-213908.0000000,4303580.0000000
44,VE071001,-599112.0000000,4417400.0000000
45,VE071002,-526502.0000000,4215250.0000000
46,VE071003,-572122.0000000,4419690.0000000
47,VE071004,-559326.0000000,4431230.0000000
48,VE071005,-507054.0000000,4404890.0000000
49,VE071101,-233685.0000000,4494940.0000000
50,VE100101,-122863.0000000,4515660.0000000
51,VE100102,-179234.0000000,4514020.0000000
52,VE100103,-49558.8984375,4516080.0000000
53,VE100201,-262494.0000000,4528810.0000000
54,VE100202,-308209.0000000,4531630.0000000
55,VE100203,-259907.0000000,4540950.0000000
56,VE100204,-298212.0000000,4533070.0000000
57,VE100205,-228943.0000000,4546350.0000000
58,VE020105,-463662.0000000,3918350.0000000
59,VE020301,-870789.0000000,4224460.0000000
60,SR,568064.0000000,4171650.0000000
61,SR,595020.0000000,4179590.0000000
62,SR,577361.0000000,4191300.0000000
63,SR,548106.0000000,4179700.0000000
64,SR,578869.0000000,4202310.0000000
65,SR,581182.0000000,4127040.0000000
66,SR,590810.0000000,4259630.0000000
67,SR,610954.0000000,4266980.0000000
68,SR,584825.0000000,4269470.0000000
69,SR,604718.0000000,4236660.0000000
70,SR,582041.0000000,4258920.0000000
71,SR,609972.0000000,4252870.0000000
72,SR,418718.0000000,4246440.0000000
73,SR,432839.0000000,4242820.0000000
74,SR,456493.0000000,4241890.0000000
75,SR,696821.0000000,4224270.0000000
76,SR,679241.0000000,4253190.0000000
77,SR,647400.0000000,4242160.0000000
78,SR,680042.0000000,4227420.0000000
79,SR,659070.0000000,4211640.0000000
80,SR,663400.0000000,4251700.0000000
81,SR,363596.0000000,4236960.0000000
82,SR,357251.0000000,4274770.0000000
83,SR,367977.0000000,4274610.0000000
84,SR,395770.0000000,4241290.0000000
85,SR,337310.0000000,4240750.0000000
86,SR,510087.0000000,4202160.0000000
87,SR,611494.0000000,4205750.0000000
88,SR,557190.0000000,4237480.0000000
89,SR,582261.0000000,4227120.0000000
90,SR,561321.0000000,4220700.0000000
91,SR,570326.0000000,4256800.0000000
92,SR,575860.0000000,4262430.0000000
93,SR,570616.0000000,4258580.0000000
94,SR,567588.0000000,4258050.0000000
95,SR,567729.0000000,4255940.0000000
96,SR,571521.0000000,4254530.0000000
97,SR,569082.0000000,4262990.0000000
98,SR,567407.0000000,4254680.0000000
99,SR,572253.0000000,4261460.0000000
100,SR,565638.0000000,4258230.0000000
101,SR,565338.0000000,4264000.0000000
102,SR,566430.0000000,4259960.0000000
103,SR,501893.0000000,4241280.0000000
104,SR,533650.0000000,4257520.0000000
105,SR,547211.0000000,4257180.0000000
106,SR,536574.0000000,4237100.0000000
107,SR,523659.0000000,4254860.0000000
108,SR,520870.0000000,4269250.0000000
109,SR,505111.0000000,4051320.0000000
110,SR,495689.0000000,4105300.0000000
111,SR,395570.0000000,3946630.0000000
112,SR,432044.0000000,4120190.0000000
