"COD","year","fire_MIN","fire_MAX","fire_MEAN","fire_COUNT","fire_SUM"
"VE020102",2001,0,0,0,7314,0
"VE020103",2001,0,0,0,5826,0
"VE020104",2001,0,1,0.000360734093881,22177,8
"VE020201",2001,0,0,0,488,0
"VE020202",2001,0,1,0.001327800829876,18075,24
"VE020203",2001,0,1,0.000465224470807,4299,2
"VE020303",2001,0,0,0,1429,0
"VE020401",2001,0,0,0,2819,0
"VE020402",2001,0,1,0.000558425240821,7163,4
"VE020403",2001,0,1,0.005235602094241,382,2
"VE020404",2001,0,0,0,2913,0
"VE020502",2001,0,0,0,10885,0
"VE020601",2001,0,1,0.000639059304703,7824,5
"VE020602",2001,0,3,0.00770482388974,20896,161
"VE020603",2001,0,0,0,1928,0
"VE020701",2001,0,0,0,31558,0
"VE020702",2001,0,0,0,2416,0
"VE020703",2001,0,0,0,1726,0
"VE070102",2001,0,0,0,33,0
"VE070103",2001,0,0,0,34,0
"VE070104",2001,0,0,0,48,0
"VE070105",2001,0,0,0,28,0
"VE070107",2001,0,0,0,30,0
"VE070108",2001,0,0,0,31,0
"VE070109",2001,0,1,0.004357298474946,459,2
"VE070110",2001,0,0,0,66,0
"VE070201",2001,0,1,0.002463692946058,7712,19
"VE070203",2001,0,1,0.001910422415623,14133,27
"VE070204",2001,0,1,0.000470145745181,4254,2
"VE070205",2001,0,1,0.002872646026173,6266,18
"VE070206",2001,0,2,0.003768080709858,8227,31
"VE070301",2001,0,1,0.003877638948729,2321,9
"VE070401",2001,0,1,0.003321048155198,24691,82
"VE070402",2001,0,3,0.007093678280826,4793,34
"VE070601",2001,0,1,0.003062005613677,3919,12
"VE070602",2001,0,1,0.003003003003003,333,1
"VE070603",2001,0,1,0.000701098387474,8558,6
"VE070702",2001,0,1,0.001338621715419,40340,54
"VE070703",2001,0,1,0.006351836509252,3621,23
"VE070801",2001,0,2,0.005532197388803,4519,25
"VE070802",2001,0,2,0.008130081300813,861,7
"VE070901",2001,0,1,0.000288683602771,10392,3
"VE070902",2001,0,1,0.000154035736291,6492,1
"VE070903",2001,0,0,0,6370,0
"VE071001",2001,0,2,0.015859030837004,1135,18
"VE071002",2001,0,1,0.000337578640479,32585,11
"VE071003",2001,0,2,0.029197080291971,822,24
"VE071004",2001,0,1,0.01744966442953,745,13
"VE071005",2001,0,2,0.004931360789018,7503,37
"VE071101",2001,0,1,0.0016020506248,3121,5
"VE100101",2001,0,1,0.000485790624241,4117,2
"VE100102",2001,0,0,0,2994,0
"VE100103",2001,0,0,0,6648,0
"VE100201",2001,0,0,0,822,0
"VE100202",2001,0,0,0,34,0
"VE100203",2001,0,0,0,558,0
"VE100204",2001,0,0,0,162,0
"VE100205",2001,0,0,0,833,0
"VE020105",2001,0,1,0.000639658848614,4690,3
"VE020301",2001,0,0,0,1627,0
"SR",2001,0,2,0.000211452916484,127688,27
"PE030101",2001,0,0,0,250,0
"PE081002",2001,0,0,0,211,0
"PE051102",2001,0,0,0,75,0
"PE120202",2001,0,0,0,34,0
"PE021902",2001,0,0,0,133,0
"PE090201",2001,0,0,0,106,0
"PE120702",2001,0,0,0,94,0
"PE090102",2001,0,0,0,646,0
"PE020402",2001,0,0,0,68,0
"PE050102",2001,0,0,0,377,0
"PE120402",2001,0,0,0,104,0
"PE080201",2001,0,0,0,124,0
"PE080202",2001,0,0,0,62,0
"PE090103",2001,0,0,0,475,0
"PE080203",2001,0,0,0,120,0
"PE050103",2001,0,0,0,135,0
