"COD","year","for_PLAND","for_PD","for_ED","for_AI","savanna_PLAND","notforest_PLAND","FS_PLAND"
"BO010101",2008,9.5465,1.4338,25.6285,78.8325,0,48.1857,9.5465
"BO010103",2008,18.0902,2,40.2229,82.5047,0,74.1945,18.0902
"BO010201",2008,19.3022,0.7182,26.4066,89.1543,0,21.1549,19.3022
"BO010202",2008,24.7139,0.7938,36.1624,88.4807,0,27.7865,24.7139
"BO010301",2008,14.0944,2.6962,44.6907,74.9347,0,79.5513,14.0944
"BO010302",2008,24.3744,2.0362,53.0249,82.878,0,72.3206,24.3744
"BO010303",2008,24.717,1.9502,50.3677,83.9339,0,63.2081,24.717
"BO010304",2008,0.4205,0.0337,0.8235,84.9077,0,1.1308,0.4205
"BO010401",2008,70.4734,0.9833,38.3537,95.6842,0,25.1355,70.4734
"BO010402",2008,27.1048,2.8091,60.8492,82.2367,0,66.9625,27.1048
"BO010403",2008,39.7582,2.2986,77.549,84.604,0,51.1456,39.7582
"BO010404",2008,26.662,2.6636,59.4136,82.3187,0,64.2123,26.662
"BO010405",2008,55.8829,1.2976,64.138,90.9073,0,39.853,55.8829
"BO010501",2008,86.0706,0.2669,33.2642,96.8896,0,7.5534,86.0706
"BO010502",2008,18.9268,0.0739,5.5465,97.6181,0,0.9254,18.9268
"BO010601",2008,3.7278,1.0503,13.2493,72.0221,0,58.406,3.7278
"BO010602",2008,0.3885,0.2179,1.87,62.0902,0,19.8302,0.3885
"BO010801",2008,57.5172,1.2668,49.7924,93.1821,0,35.2938,57.5172
"BO011001",2008,71.1234,0.127,16.525,98.1084,0,2.1605,71.1234
"BO020101",2008,42.3023,0.1562,8.4867,98.3347,0,39.3715,42.3023
"BO020102",2008,2.0651,0.5882,8.1247,69.3129,0,74.7339,2.0651
"BO020103",2008,0.1734,0.2024,1.098,51.5134,0,75.194,0.1734
"BO020104",2008,0.0607,0.0337,0.2807,70.2564,0,37.1981,0.0607
"BO020402",2008,2.1346,0.3874,5.6754,79.5438,0,39.4973,2.1346
"BO020403",2008,0.1379,0.0675,0.5908,68.7068,0,35.8614,0.1379
"BO020501",2008,5.5882,0.6422,11.1813,84.5394,0,67.9312,5.5882
"BO020502",2008,42.1191,0.6813,24.0382,95.4347,0,48.2232,42.1191
"BO020503",2008,16.7163,1.0109,21.2287,90.1939,0,70.5074,16.7163
"BO020601",2008,28.1832,0.4153,14.0766,96.0073,0,48.1986,28.1832
"BO020602",2008,72.9008,0.2602,15.3445,98.2955,0,17.9377,72.9008
"BO020603",2008,62.0001,0.4564,19.9971,97.4014,0,32.3858,62.0001
"BO020604",2008,4.3953,0.9795,12.3975,77.8787,0,65.6675,4.3953
"BO020605",2008,1.5198,0.2539,3.7126,82.9277,0,79.2081,1.5198
"BO020606",2008,84.7339,0.3625,32.2327,96.8261,0,6.0826,84.7339
"BO020607",2008,90.3806,0.2693,23.797,97.8728,0,4.7049,90.3806
"BO020608",2008,88.0636,0.2959,28.1786,97.4574,0,2.6758,88.0636
"BO020701",2008,86.5024,0.3343,17.3683,98.4007,0,11.2383,86.5024
"BO020702",2008,23.1937,0.1743,8.0855,97.2157,0,27.3151,23.1937
"BO020901",2008,0.9978,0.5744,5.196,59.3757,0,74.4602,0.9978
"BO020902",2008,1.0253,0.657,5.4248,58.6318,0,77.3802,1.0253
"BO020903",2008,0.0136,0.0168,0.0861,53.4722,0,41.1551,0.0136
"BO020904",2008,0.5836,0.2852,2.8556,62.2651,0,54.6851,0.5836
"BO020905",2008,5.1677,0.9263,14.0222,78.8913,0,75.8146,5.1677
"BO021001",2008,47.7043,0.723,21.8254,96.3767,0,45.2438,47.7043
"BO021002",2008,17.9048,0.697,20.3133,90.9699,0,60.2053,17.9048
"BO021003",2008,53.9636,1.1657,38.6726,94.236,0,35.4217,53.9636
"BO021004",2008,0.1235,0.0544,0.4617,72.2429,0,52.4182,0.1235
"BO021005",2008,1.5037,0.1584,2.9569,85.1256,0,51.2885,1.5037
"BO021006",2008,57.5136,1.0307,45.8807,93.6808,0,34.3368,57.5136
"BO021101",2008,52.5673,1.6892,43.985,93.3266,0,26.8549,52.5673
"BO021102",2008,44.5939,0.8293,29.7119,94.7246,0,40.8596,44.5939
"BO021103",2008,28.6556,0.7668,23.4615,93.4834,0,57.7976,28.6556
"BO021104",2008,94.0184,0.1526,15.1689,98.7067,0,1.1419,94.0184
"BO021105",2008,92.2925,0.1766,16.4482,98.5692,0,2.4585,92.2925
"BO021301",2008,0.0029,0.0023,0.0146,71.2644,0,7.8714,0.0029
"BO021401",2008,85.9579,0.2913,26.5166,97.5128,0,8.7031,85.9579
"BO021402",2008,83.1194,0.5789,21.2897,97.8749,0,7.5296,83.1194
"BO021501",2008,75.1068,0.1331,9.2237,99.0302,0,23.4573,75.1068
