"COD","year","pm25_SUM"
"VE020102",2001,70351520952
"VE020103",2001,53594536270
"VE020104",2001,209114213746
"VE020201",2001,5090023019
"VE020202",2001,178862627069
"VE020203",2001,43879533290
"VE020303",2001,13990534877
"VE020401",2001,28021238276
"VE020402",2001,71284654389
"VE020403",2001,3874109676
"VE020404",2001,29539248843
"VE020502",2001,112580734645
"VE020601",2001,69545907288
"VE020602",2001,189649317631
"VE020603",2001,18074716927
"VE020701",2001,319853820982
"VE020702",2001,24670695066
"VE020703",2001,18353128253
"VE070102",2001,125707580.5
"VE070103",2001,153107200.5
"VE070104",2001,202149123.5
"VE070105",2001,138334267
"VE070107",2001,131920667.5
"VE070108",2001,124446868
"VE070109",2001,2198253229.5
"VE070110",2001,315200730
"VE070201",2001,60732360159.5
"VE070203",2001,105517287271.5
"VE070204",2001,34456554427
"VE070205",2001,53444589588
"VE070206",2001,75406497127
"VE070301",2001,11898838804.5
"VE070401",2001,168199687862.5
"VE070402",2001,35748367459.5
"VE070601",2001,18752856705.5
"VE070602",2001,1597048437
"VE070603",2001,48975488209
"VE070702",2001,299454044396.5
"VE070703",2001,23089742269
"VE070801",2001,24328531060
"VE070802",2001,3917308021.5
"VE070901",2001,48098852081.5
"VE070902",2001,36208386420.5
"VE070903",2001,38920350599.5
"VE071001",2001,7707245974.5
"VE071002",2001,259429705343.5
"VE071003",2001,5389881023
"VE071004",2001,4813670618.5
"VE071005",2001,47917925040
"VE071101",2001,13718827396.5
"VE100101",2001,15606992475.25
"VE100102",2001,12111205975.5
"VE100103",2001,23491778613.5
"VE100201",2001,3468051901.5
"VE100202",2001,143052313.5
"VE100203",2001,2260913790
"VE100204",2001,689272408.75
"VE100205",2001,3217271713.75
"VE020105",2001,42652899431
"VE020301",2001,16205336525
"SR",2001,711066929586.25
"PE030101",2001,1281378862
"PE081002",2001,1161124034
"PE051102",2001,315247168.5
"PE120202",2001,170705741.5
"PE021902",2001,747490017.5
"PE090201",2001,482704586.5
"PE120702",2001,452932188.5
"PE090102",2001,2678164755
"PE020402",2001,364961992
"PE050102",2001,1736475248.5
"PE120402",2001,508648517.5
"PE080201",2001,704495053
"PE080202",2001,384209591
"PE090103",2001,2199934158.5
"PE080203",2001,671915958
"PE050103",2001,635242813
"PE090702",2001,661188612
"PE090703",2001,453667223
"PE020302",2001,309521249.5
"PE220302",2001,1024452470.5
"PE120902",2001,303761297.5
"PE090704",2001,409890047
"PE210302",2001,2395948198
"PE220902",2001,381307881
"PE051002",2001,411762494.5
"PE250305",2001,1366074229
"PE021903",2001,450083441
"PE220502",2001,2107065788.5
"PE220202",2001,38410510293
"PE211209",2001,8587038328
"PE160102",2001,143493615623
"PE080808",2001,1686705689
"PE220402",2001,9205716676.5
"PE160502",2001,76440499913
"PE100102",2001,663743512.5
"PE100201",2001,1395519347
"PE080302",2001,595829574.5
"PE050510",2001,1201036703
"PE090302",2001,291143641
"PE050502",2001,3482636949.5
"PE090502",2001,619181620
"PE030602",2001,379208308
"PE090202",2001,334769319
"PE030201",2001,779290734
"PE081202",2001,453158567.5
"PE120203",2001,2347011646.5
"PE030202",2001,790996080.5
"PE090720",2001,675532675.5
"PE160706",2001,102543625135
"PE050116",2001,32292402.5
"PE060402",2001,758537777
"PE021002",2001,396775910.5
"PE080301",2001,928799354.5
"PE090203",2001,379359616
"PE030301",2001,2308722193.5
"PE101104",2001,891744251.5
"PE120403",2001,1845294640.5
"PE051003",2001,588571430.25
"PE010202",2001,4648390745
"PE100502",2001,591460324
"PE090118",2001,1481096553.75
"PE051004",2001,243168433
"PE010102",2001,212503233.5
"PE120404",2001,19337254
"PE050602",2001,2866195875
"PE220802",2001,3385953527
"PE200201",2001,6856329041
"PE050101",2001,344616709.5
"PE050402",2001,1663380227.5
"PE210303",2001,12480930107.5
"PE050503",2001,1287787076.5
"PE010201",2001,702457524.5
"PE010701",2001,3974309185
"PE220203",2001,7610988608.5
"PE160202",2001,22814993495
"PE010103",2001,1735764929
"PE060701",2001,2263587006
"PE130302",2001,868616238.5
"PE101002",2001,855576930
"PE160701",2001,55182128587
"PE220503",2001,8012981451
"PE050902",2001,151492421
"PE160112",2001,6453219588
"PE060802",2001,4502733184.5
"PE220201",2001,1751521818
"PE130301",2001,4033294456
"PE220702",2001,2215745038
"PE130802",2001,1202657476.5
"PE050603",2001,1282726721
"PE220903",2001,373112346
"PE060202",2001,3883151170.5
"PE131003",2001,1279241599
"PE080303",2001,207611639.5
"PE101102",2001,133870223
"PE160702",2001,36485057749.5
"PE081102",2001,574499346.5
"PE090204",2001,358963199
"PE060201",2001,915376652.5
"PE060101",2001,1758375333.5
"PE010702",2001,10562665638.5
"PE021003",2001,798659627.5
"PE080401",2001,1643126763
"PE090303",2001,90976352.5
"PE060602",2001,1436569745
"PE250101",2001,90714472210
"PE220102",2001,774272119.5
"PE081203",2001,19918476401
"PE220602",2001,11121230558
"PE010502",2001,1191599402
"PE250102",2001,9358162712.5
"PE051005",2001,926237186
"PE140202",2001,1218852796
"PE050409",2001,1258742220.5
"PE100402",2001,928160886
"PE200302",2001,1309489790.5
"PE120405",2001,3680199695
"PE050201",2001,697754301
"PE080702",2001,1257485443
"PE030402",2001,316891029.5
"PE160503",2001,7392098313
"PE050302",2001,694958543.75
"PE030403",2001,856538917.5
"PE120104",2001,54710755
"PE051103",2001,201299420
"PE050104",2001,63667302.5
"PE050604",2001,1471702894.25
"PE021302",2001,360840258.5
