"COD","year","pop"
"BO010101",2000,148710.10371828
"BO010101",2001,151512.911190032
"BO010101",2002,154315.718661784
"BO010101",2003,157118.526133537
"BO010101",2004,159921.333605289
"BO010101",2005,162724.141077041
"BO010101",2006,165551.724201633
"BO010101",2007,168379.307326225
"BO010101",2008,171206.890450816
"BO010101",2009,174034.473575408
"BO010101",2010,176862.0567
"BO010101",2011,179738.214129455
"BO010101",2012,182614.37155891
"BO010101",2013,185490.528988364
"BO010101",2014,188366.686417819
"BO010101",2015,191242.843847274
"BO010101",2016,194180.100931167
"BO010101",2017,197117.35801506
"BO010101",2018,200054.615098952
"BO010101",2019,202991.872182845
"BO010101",2020,205929.129266738
"BO010103",2000,47494.2766609191
"BO010103",2001,48389.4230263709
"BO010103",2002,49284.5693918227
"BO010103",2003,50179.7157572746
"BO010103",2004,51074.8621227264
"BO010103",2005,51970.0084881782
"BO010103",2006,52873.0676265426
"BO010103",2007,53776.1267649069
"BO010103",2008,54679.1859032713
"BO010103",2009,55582.2450416356
"BO010103",2010,56485.30418
"BO010103",2011,57403.8767164975
"BO010103",2012,58322.4492529951
"BO010103",2013,59241.0217894926
"BO010103",2014,60159.5943259902
"BO010103",2015,61078.1668624877
"BO010103",2016,62016.2531173705
"BO010103",2017,62954.3393722533
"BO010103",2018,63892.4256271362
"BO010103",2019,64830.511882019
"BO010103",2020,65768.5981369018
"BO010201",2000,10441.6824194192
"BO010201",2001,10638.4815847634
"BO010201",2002,10835.2807501077
"BO010201",2003,11032.0799154519
"BO010201",2004,11228.8790807962
"BO010201",2005,11425.6782461404
"BO010201",2006,11624.2170469123
"BO010201",2007,11822.7558476842
"BO010201",2008,12021.2946484562
"BO010201",2009,12219.8334492281
"BO010201",2010,12418.37225
"BO010201",2011,12620.3216989353
"BO010201",2012,12822.2711478706
"BO010201",2013,13024.2205968059
"BO010201",2014,13226.1700457412
"BO010201",2015,13428.1194946765
"BO010201",2016,13634.3590455054
"BO010201",2017,13840.5985963344
"BO010201",2018,14046.8381471633
"BO010201",2019,14253.0776979923
"BO010201",2020,14459.3172488212
"BO010202",2000,9305.16699945926
"BO010202",2001,9480.54574334621
"BO010202",2002,9655.92448723315
